,date,tmax,tmin,prec,sun,humidity,wind,date2
0,1963-01-01,27.916666666666668,19.075,16.266666666666666,17.3054505,82.41666666666667,1.45625,1963-01-01
1,1963-01-02,27.861538461538462,19.515384615384615,24.069230769230767,16.805033384615385,84.5,0.9019230769230769,1963-01-02
2,1963-01-03,29.6,18.861538461538462,10.484615384615385,22.39377276923077,79.0,0.5769230769230769,1963-01-03
3,1963-01-04,31.61818181818182,19.245454545454546,2.1363636363636362,24.829819,76.22727272727273,0.4295454545454545,1963-01-04
4,1963-01-05,32.59166666666667,19.241666666666667,3.308333333333333,27.627422083333332,67.66666666666667,0.8125,1963-01-05
5,1963-01-06,31.825,19.516666666666666,0.5833333333333334,27.42506075,71.04166666666667,1.2,1963-01-06
6,1963-01-07,29.21666666666667,20.349999999999998,0.18333333333333335,20.708364333333332,78.3125,1.3583333333333334,1963-01-07
7,1963-01-08,29.7,19.991666666666667,8.525,23.087308833333335,79.4375,1.164583325,1963-01-08
8,1963-01-09,30.224999999999998,20.041666666666668,10.783333333333333,21.870379749999998,79.33333333333333,0.7291666666666666,1963-01-09
9,1963-01-10,31.64166666666667,20.433333333333334,5.283333333333333,22.332112666666664,75.08333333333333,0.7625000000000001,1963-01-10
10,1963-01-11,28.941666666666666,20.625,3.2583333333333333,17.304581916666667,80.79166666666667,0.8958333333333334,1963-01-11
11,1963-01-12,29.383333333333336,19.575,7.8,17.804296166666667,78.375,1.0,1963-01-12
12,1963-01-13,30.816666666666666,19.266666666666666,3.2583333333333333,25.177275750000003,69.91666666666667,1.1458333333333333,1963-01-13
13,1963-01-14,29.983333333333334,19.308333333333334,2.4166666666666665,19.73555066666667,74.97916666666667,0.8333333333333334,1963-01-14
14,1963-01-15,27.95,20.041666666666668,4.333333333333333,15.823400041666666,83.85416666666667,1.2229166666666667,1963-01-15
15,1963-01-16,27.215384615384615,18.2,35.684615384615384,15.125225076923076,84.40384615384616,1.4096153692307694,1963-01-16
16,1963-01-17,28.176923076923078,18.607692307692307,1.3923076923076925,16.678074615384613,82.61538461538461,0.75,1963-01-17
17,1963-01-18,29.683333333333334,17.516666666666666,8.466666666666667,22.750643333333333,76.72916666666667,0.7770833333333332,1963-01-18
18,1963-01-19,28.26153846153846,18.184615384615384,6.223076923076923,17.508218692307693,81.92307692307692,1.0923076923076922,1963-01-19
19,1963-01-20,30.661538461538463,18.13076923076923,9.484615384615385,26.099672076923074,75.40384615384616,0.9769230807692307,1963-01-20
20,1963-01-21,32.06153846153846,18.784615384615385,0.007692307692307693,26.03635115384615,74.38461538461539,0.7211538461538461,1963-01-21
21,1963-01-22,30.392307692307693,19.415384615384617,3.5076923076923077,19.215518615384614,83.4423076923077,1.0057692307692307,1963-01-22
22,1963-01-23,28.430769230769233,18.253846153846155,23.307692307692307,21.50365530769231,79.82692307692308,1.0557692307692308,1963-01-23
23,1963-01-24,29.576923076923077,19.115384615384617,3.315384615384615,18.734105692307693,79.42307692307692,1.4076923076923078,1963-01-24
24,1963-01-25,29.799999999999997,19.53076923076923,17.93846153846154,17.13817276923077,80.59615384615384,0.8846153846153846,1963-01-25
25,1963-01-26,27.608333333333334,19.724999999999998,13.174999999999999,15.211473750000001,83.85416666666667,1.0,1963-01-26
26,1963-01-27,29.925,19.375,8.275,21.032441916666667,78.64583333333333,0.8854166666666666,1963-01-27
27,1963-01-28,29.3,19.349999999999998,4.491666666666666,19.487574666666667,80.58333333333333,0.96875,1963-01-28
28,1963-01-29,31.166666666666668,18.616666666666667,1.575,23.310977166666664,75.22916666666667,0.5958333333333333,1963-01-29
29,1963-01-30,28.45,18.841666666666665,2.5916666666666663,17.6145235,78.45833333333333,0.8854166666666666,1963-01-30
30,1963-01-31,30.566666666666666,17.650000000000002,4.791666666666667,21.796390916666667,77.08333333333333,0.8958333333333334,1963-01-31
31,1963-02-01,29.008333333333336,17.658333333333335,14.116666666666667,19.429883916666665,79.16666666666667,0.9791666666666666,1963-02-01
32,1963-02-02,29.22307692307692,18.184615384615384,3.869230769230769,20.36742953846154,79.40384615384616,0.8365384615384616,1963-02-02
33,1963-02-03,28.23846153846154,18.646153846153847,10.146153846153847,18.461809846153848,84.3076923076923,1.0692307692307692,1963-02-03
34,1963-02-04,28.838461538461537,19.315384615384616,13.169230769230769,19.03407580769231,83.67307692307692,0.8846153846153846,1963-02-04
35,1963-02-05,28.84166666666667,19.066666666666666,7.708333333333333,19.4375655,81.83333333333333,0.8375000083333334,1963-02-05
36,1963-02-06,28.707692307692305,19.24615384615385,15.56153846153846,18.010785076923078,85.4423076923077,0.9134615384615384,1963-02-06
37,1963-02-07,27.576923076923077,18.692307692307693,12.5,17.57387230769231,81.75,1.25,1963-02-07
38,1963-02-08,28.27692307692308,17.307692307692307,9.746153846153847,22.453820653846154,78.15384615384616,1.6326923076923079,1963-02-08
39,1963-02-09,28.607692307692307,17.115384615384617,6.0307692307692315,22.284607923076923,76.71153846153847,1.525,1963-02-09
40,1963-02-10,29.815384615384616,17.93846153846154,3.6846153846153844,24.26016876923077,74.5576923076923,1.3653846153846154,1963-02-10
41,1963-02-11,30.00769230769231,18.56923076923077,3.476923076923077,24.320116153846154,72.5576923076923,1.348076923076923,1963-02-11
42,1963-02-12,31.09166666666667,19.533333333333335,2.3916666666666666,25.507664416666668,72.85416666666667,1.2729166666666667,1963-02-12
43,1963-02-13,30.215384615384615,19.361538461538462,4.107692307692307,21.785113923076924,78.51923076923077,1.2538461538461538,1963-02-13
