date,tmax,tmin,prec,sun,humidity,wind,tmax_lag_1,tmin_lag_1,prec_lag_1,sun_lag_1,humidity_lag_1,wind_lag_1,tmax_lag_2,tmin_lag_2,prec_lag_2,sun_lag_2,humidity_lag_2,wind_lag_2,tmax_lag_3,tmin_lag_3,prec_lag_3,sun_lag_3,humidity_lag_3,wind_lag_3,tmax_lag_4,tmin_lag_4,prec_lag_4,sun_lag_4,humidity_lag_4,wind_lag_4,tmax_lag_5,tmin_lag_5,prec_lag_5,sun_lag_5,humidity_lag_5,wind_lag_5,tmax_lag_6,tmin_lag_6,prec_lag_6,sun_lag_6,humidity_lag_6,wind_lag_6,tmax_lag_7,tmin_lag_7,prec_lag_7,sun_lag_7,humidity_lag_7,wind_lag_7,tmax_lag_8,tmin_lag_8,prec_lag_8,sun_lag_8,humidity_lag_8,wind_lag_8,tmax_lag_9,tmin_lag_9,prec_lag_9,sun_lag_9,humidity_lag_9,wind_lag_9,tmax_lag_10,tmin_lag_10,prec_lag_10,sun_lag_10,humidity_lag_10,wind_lag_10,tmax_lag_11,tmin_lag_11,prec_lag_11,sun_lag_11,humidity_lag_11,wind_lag_11,tmax_lag_12,tmin_lag_12,prec_lag_12,sun_lag_12,humidity_lag_12,wind_lag_12
1963-01-31,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-02-28,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-03-31,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-04-30,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-05-31,27.905402661854275,11.538767952477631,0.21687344913151363,16.7621718620291,61.26004774795097,1.0733457407775022,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-06-30,26.057983682983682,10.52208041958042,0.05128205128205129,14.844306551969698,61.67949203574203,1.1803491654933955,27.905402661854275,11.538767952477631,0.21687344913151363,16.7621718620291,61.26004774795097,1.0733457407775022,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-07-31,27.899403714565004,11.205092864125122,0.0016129032258064514,15.771503224437929,54.36177908113392,1.145497311827957,26.057983682983682,10.52208041958042,0.05128205128205129,14.844306551969698,61.67949203574203,1.1803491654933955,27.905402661854275,11.538767952477631,0.21687344913151363,16.7621718620291,61.26004774795097,1.0733457407775022,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-08-31,30.013554903877484,13.721324535679376,0.19838709677419356,16.63275969028348,50.4415770609319,1.391216600961225,27.899403714565004,11.205092864125122,0.0016129032258064514,15.771503224437929,54.36177908113392,1.145497311827957,26.057983682983682,10.52208041958042,0.05128205128205129,14.844306551969698,61.67949203574203,1.1803491654933955,27.905402661854275,11.538767952477631,0.21687344913151363,16.7621718620291,61.26004774795097,1.0733457407775022,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-09-30,32.94756216006216,16.902491674991676,0.22785714285714284,17.687004057718944,47.71399364524364,1.4565707207076257,30.013554903877484,13.721324535679376,0.19838709677419356,16.63275969028348,50.4415770609319,1.391216600961225,27.899403714565004,11.205092864125122,0.0016129032258064514,15.771503224437929,54.36177908113392,1.145497311827957,26.057983682983682,10.52208041958042,0.05128205128205129,14.844306551969698,61.67949203574203,1.1803491654933955,27.905402661854275,11.538767952477631,0.21687344913151363,16.7621718620291,61.26004774795097,1.0733457407775022,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,,,,,,,
1963-10-31,32.192478005865105,18.684814271749755,3.3572238514174,17.751954218866082,61.32597751710655,1.7203384644379278,32.94756216006216,16.902491674991676,0.22785714285714284,17.687004057718944,47.71399364524364,1.4565707207076257,30.013554903877484,13.721324535679376,0.19838709677419356,16.63275969028348,50.4415770609319,1.391216600961225,27.899403714565004,11.205092864125122,0.0016129032258064514,15.771503224437929,54.36177908113392,1.145497311827957,26.057983682983682,10.52208041958042,0.05128205128205129,14.844306551969698,61.67949203574203,1.1803491654933955,27.905402661854275,11.538767952477631,0.21687344913151363,16.7621718620291,61.26004774795097,1.0733457407775022,29.75929292929293,15.22570707070707,1.0586363636363636,19.05833985979798,66.5739898989899,0.9185795454545455,31.96505376344086,19.06845063538612,2.905327468230694,21.420146978128056,69.95515640273705,1.070204056158358,29.764468864468864,18.75789835164835,7.615384615384615,21.190927780677658,77.54412774725276,1.0974244512316849,29.695106774945483,19.17377810361681,7.965110158658545,20.62815638265095,78.50123129558612,0.961349066958042,,,,,,,,,,,,,,,,,,
